 ;;;;;;
sample_matrix_id;sample_matrix_code;name_vi;sample_matrix_group_id;sample_matrix_group;;
41272a34-12cf-4ffb-8338-aa61b2404d6c;NM-0111;Phân bón;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
6e0a0783-feca-403b-a6a7-5b6e27a36ca0;NM-0112;Phân bón chứa Nitơ dạng Nitrat;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
ef531efc-a87b-4ca7-9ec2-d177bfcc3f62;NM-0113;Phân bón dạng lỏng;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
feda78be-6e06-4c2e-adcb-6d688b48e5c2;NM-0114;Phân bón dạng rắn;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
d4710e5f-e880-4f7d-998a-2a00e2b354b3;NM-0115;Phân bón không chứa Nitơ dạng Nitrat;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
7ed3ed17-2c9a-43b1-8aab-b7c6300ecfd1;NM-0116;Phân Diamoni photphat (DAP);;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
6f3a9996-0968-4602-9cdf-9a9996d06552;NM-0117;Phân hỗn hợp NPK;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
f22f4473-d252-4d2a-92d1-84e80a0829a4;NM-0118;Phân lân nung chảy;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
b2e0269f-4e95-4bf9-844f-665b676241e3;NM-0119;Phân supe phosphat;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
a954fc64-26d9-409e-a182-6dfcbe0ad6fb;NM-0120;Phân Urê;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
cc41cffc-74ce-4ab4-8e85-6540d9003324;NM-0121;Thuốc Thú Y;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
91d58540-3c22-4202-979f-45417e00e3c7;NM-0122;Bột canh gia vị;;PHỤ GIA THỰC PHẨM;;
d1a9bd90-50b8-4157-9877-545b2385015a;NM-0123;Hương liệu, phụ gia thực phẩm;;PHỤ GIA THỰC PHẨM;;
5a9a1ff0-3160-471f-aefe-b80841d77625;NM-0124;Muối ăn;;PHỤ GIA THỰC PHẨM;;
9f60ab69-6814-4d15-bb44-84d913d9c755;NM-0125;Muối iot, bột gia vị;;PHỤ GIA THỰC PHẨM;;
6802256a-8c15-4c45-8ff6-509a218384a7;NM-0126;Phụ gia thực phẩm;;PHỤ GIA THỰC PHẨM;;
168f6fad-19bf-4c2e-bf0c-83e75503615b;NM-0127;Phomai, sản phẩm phomai;;SỮA & SẢN PHẨM SỮA;;
e0ae28b2-c8d1-4958-811f-f961133744ae;NM-0128;SỮA & SẢN PHẨM SỮA;;SỮA & SẢN PHẨM SỮA;;
c4fa6836-ad43-4d1d-bcec-da97fd1a7dab;NM-0129;Sữa bột và sản phẩm sữa bột;;SỮA & SẢN PHẨM SỮA;;
