sample_matrix_group;sample_matrix;analysis_group;analysis_item_name_vi;analysis_item_name_en;public_group_code;Equipment_type;LOD;LOQ;TAT_Normal;TAT_Fast;TAT_Urgent; unit_price ; Analysis Group Whole group standard 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Gadolini (Gd);Gadolinium (Gd) content;VLAB-CH-TP-042;ICP-MS;;0.001 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Terbi (Tb);Terbi (Tb) content;VLAB-CH-TP-042;ICP-MS;;0.001 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Chì (Pb);Lead (Pb) content;VLAB-CH-TP-042;ICP-MS;;0.0005 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;VLAB-CH-TP-042;ICP-MS;;0.0005 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Asen (As);Arsenic (As) content;VLAB-CH-TP-042;ICP-MS;;0.0005 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Bari (Ba);Barium (Ba) content;VLAB-CH-TP-042;ICP-MS;;0.02 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Đồng (Cu);Copper (Cu) content;VLAB-CH-TP-042;ICP-MS;;0.02 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Nhôm (Al);Aluminum (Al) content;VLAB-CH-TP-042;ICP-MS;;0.02 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Kẽm (Zn);Zinc (Zn) content;VLAB-CH-TP-042;ICP-MS;;0.02 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Sắt (Fe);Iron (Fe) content;VLAB-CH-TP-042;ICP-MS;;0.02 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Magie (Mg);Magnesium (Mg) content;VLAB-CH-TP-042;ICP-MS;;0.1 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Canxi (Ca);Calcium (Ca) content;VLAB-CH-TP-042;ICP-MS;;0.1 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Natri (Na);Sodium (Na) content;VLAB-CH-TP-042;ICP-MS;;0.1 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Kali (K);Potassium (K) content;VLAB-CH-TP-042;ICP-MS;;0.1 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Thủy ngân (Hg);Mercury (Hg) content;VLAB-CH-TP-042;ICP-MS;;0.0001 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa nylon (PA);;Caprolactam thỗi nhiễm trong Ethanol 20% từ trong bao bì, dụng cụ tiếp xúc trực tiếp với thực phẩm;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1µg/mL;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polycarbonat (PC);;Triethylamine;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 490.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polycarbonat (PC);;Tributylamine;;QCVN 12-1: 2011/BYT;GC-MS/MS;;1mg/g;72;;; 490.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polycarbonat (PC) ;;Bisphenol A (phenol, tert butyl phenol)/thôi nhiễm trong nước;;QCVN 12-1: 2011/BYT;HPLC-PDA;;0.3 µg/mL;72;;; 350.000 ; NA 
BAO BÌ;Bao bì tiếp xúc thực phẩm từ nhựa polycarbonat (PC) ;;"Bisphenol A (phenol, tert butyl phenol)/ thôi nhiễm trong Heptan; Ethanol; acid acetic";;QCVN 12-1: 2011/BYT;HPLC-PDA;;0.3 µg/mL;72;;; 350.000 ; NA 
